id,category,label,notice
179,B,Intellectual Property Claim,"NOTICE OF TRADE SECRET MISAPPROPRIATION TO: DevStack Innovations FROM: CodePatent Partners DATE: October 14, 2024 CodePatent Partners hereby provides notice that DevStack Innovations has misappropriated trade secrets belonging to CodePatent Partners in violation of the Defend Trade Secrets Act (18 U.S.C. § 1836). The misappropriated information includes proprietary algorithms, manufacturing processes, and customer data compiled over 9 years of investment. This information was wrongfully acquired through a former CodePatent Partners employee now working at DevStack Innovations. CodePatent Partners demands an immediate halt to any use of such information, preservation of all relevant records, and a written response within 30 days, failing which an application for emergency injunctive relief will be filed."
180,A,Contract Dispute,"BREACH OF CONFIDENTIALITY NOTICE TO: Orion Dynamics Inc. FROM: Vertex Solutions LLC DATE: March 25, 2025 This correspondence constitutes formal notice under Section 11.2 of the Mutual Non-Disclosure Agreement dated October 1, 2023. It has come to Vertex Solutions LLC's attention that Orion Dynamics Inc. has disclosed proprietary business information — including pricing structures, client lists, and product roadmaps — to unauthorized third parties. Such disclosure constitutes a material breach entitling Vertex Solutions LLC to seek injunctive relief and damages exceeding $350,000. Orion Dynamics Inc. must confirm in writing within 7 days all disclosures made, all recipients of such information, and steps taken to retrieve or contain the disclosed materials."
181,C,Regulatory Compliance,"PRODUCT SAFETY RECALL COMPLIANCE NOTICE TO: StreamLine Networks Ltd. FROM: Telecommunications Regulatory Office DATE: December 2, 2024 Telecommunications Regulatory Office has determined that StreamLine Networks Ltd.'s product 'SmartOps Dashboard', Model No. TXU-1434, poses a serious safety risk to consumers due to risk of chemical leakage. StreamLine Networks Ltd. has failed to initiate a recall in accordance with General Data Protection Regulation (GDPR) within the mandatory timeframe. You are hereby ordered to initiate an immediate voluntary recall, notify all known purchasers, and submit a recall plan to Telecommunications Regulatory Office within 21 business days. Failure to comply will result in a mandatory recall order, public announcement of non-compliance, and civil penalties of $500,000 per day of continued violation."
182,A,Contract Dispute,"NOTICE OF WARRANTY BREACH TO: Sunstone Development LLC FROM: Greenfield Realty Partners DATE: September 5, 2024 Greenfield Realty Partners hereby notifies Sunstone Development LLC of a warranty breach under the Equipment Supply Agreement dated December 15, 2023. The equipment delivered under Purchase Order #99208 has failed to perform to the specifications warranted in Section 3.4, exhibiting critical operational defects. Despite 30 days' notice provided on November 1, 2022, Sunstone Development LLC has failed to repair or replace the defective units. Greenfield Realty Partners now demands full replacement of all defective equipment or a refund of $200,000, and reserves all rights to consequential damages arising from production losses."
183,B,Intellectual Property Claim,"DOMAIN NAME DISPUTE NOTICE TO: MediaForge Corp. FROM: Creative Works International DATE: February 18, 2025 Creative Works International is the owner of the federally registered trademark 'QUANTUMSEAL' and the domain name streamline.ai. MediaForge Corp. has registered and is using the domain 'SmartOps Dashboard', which is confusingly similar to Creative Works International's trademark and domain. This constitutes cybersquatting under the Anti-Cybersquatting Consumer Protection Act (15 U.S.C. § 1125(d)). Creative Works International demands immediate transfer of the disputed domain to Creative Works International without compensation. If voluntary transfer is not confirmed within 14 days, Creative Works International will initiate proceedings under ICANN's Uniform Domain Name Dispute Resolution Policy (UDRP) and seek all available legal remedies."
184,C,Regulatory Compliance,"FINANCIAL REPORTING NON-COMPLIANCE NOTICE TO: Global Payment Solutions FROM: Anti-Money Laundering Authority DATE: March 3, 2024 Anti-Money Laundering Authority has determined that Global Payment Solutions has failed to file its quarterly financial disclosure reports as required under Section 7.1 of the Financial Industry Regulatory Authority (FINRA) Rule 4370. Reports for the periods ending Q3 2023 remain outstanding as of this date. This constitutes a violation of mandatory reporting obligations. Global Payment Solutions is directed to file all outstanding reports within 21 business days. A late filing fee of $75,000 per report will be assessed. Continued non-compliance will result in suspension of Global Payment Solutions's operating license and referral for criminal investigation under applicable statutes."
185,A,Contract Dispute,"NOTICE OF FORCE MAJEURE DISPUTE TO: Arbor Investment Holdings FROM: Keystone Financial Services DATE: January 9, 2025 Keystone Financial Services writes to formally contest Arbor Investment Holdings's invocation of the force majeure clause under Section 12.5 of the Supply Agreement dated October 1, 2023. The circumstances cited by Arbor Investment Holdings do not meet the contractual threshold for force majeure relief, as supply chain disruptions of this nature were foreseeable and should have been mitigated. Accordingly, Keystone Financial Services holds Arbor Investment Holdings liable for delivery failures resulting in losses of $100,000. A written response is required within 10 business days, or this matter will be escalated to arbitration."
186,B,Intellectual Property Claim,"DESIGN PATENT INFRINGEMENT NOTICE TO: ByteStream Technologies Inc. FROM: NovaTech Patents LLC DATE: June 10, 2024 This notice is to advise that ByteStream Technologies Inc.'s product 'FlowTrack Manager' infringes NovaTech Patents LLC's registered design patent No. US 8,545,649, which protects the ornamental design of NovaTech Patents LLC's Distributed Ledger Reconciliation Protocol. An ordinary observer comparing both products would find the designs substantially identical. NovaTech Patents LLC demands that ByteStream Technologies Inc. immediately cease manufacturing and selling the infringing product, destroy all existing inventory, and provide sales records for the period Q2 2024 to facilitate calculation of damages. Unless written confirmation of compliance is received within 7 days, NovaTech Patents LLC will initiate litigation seeking disgorgement of all profits."
187,A,Contract Dispute,"NOTICE OF PAYMENT DEFAULT TO: Sunstone Development LLC FROM: Greenfield Realty Partners DATE: April 15, 2024 Pursuant to Section 6.8 of the Master Services Agreement executed on May 5, 2023, this letter constitutes formal notice that Sunstone Development LLC is in default of its payment obligations. Outstanding invoices totaling $150,000 remain unpaid, now 45 days past due. Greenfield Realty Partners demands immediate remittance of all overdue amounts plus accrued interest at the rate of 2.0% per annum. Unless payment is received within 7 business days, Greenfield Realty Partners will exercise its right to suspend all services and initiate arbitration proceedings."
188,B,Intellectual Property Claim,"NOTICE OF PLAGIARISM AND COPYRIGHT VIOLATION TO: Pixel Factory Ltd. FROM: DesignEdge Studio DATE: February 18, 2025 DesignEdge Studio is the author and copyright holder of the work 'Adaptive Neural Network Processing System', published in 2018. A detailed comparison confirms that Pixel Factory Ltd.'s publication 'SmartOps Dashboard', released on October 1, 2023, reproduces substantial portions of DesignEdge Studio's work verbatim without attribution or license. This constitutes copyright infringement under 17 U.S.C. § 501. DesignEdge Studio demands immediate withdrawal of the infringing publication, public attribution, and payment of licensing fees retroactively calculated at $75,000. A written response is required within 10 days or DesignEdge Studio will pursue all legal remedies including statutory damages."
189,C,Regulatory Compliance,"FOOD SAFETY COMPLIANCE ENFORCEMENT NOTICE TO: TechVault Analytics Ltd. FROM: Data Protection Commissioner DATE: March 25, 2025 An inspection of TechVault Analytics Ltd.'s food processing facility conducted on September 12, 2022 identified critical violations of the Clean Air Act, 42 U.S.C. § 7401 et seq., including improper temperature control, inadequate pest management, and failure to maintain required sanitation logs. These conditions present an imminent public health hazard. TechVault Analytics Ltd. is directed to immediately suspend production, remediate all identified deficiencies, and submit documentary evidence of compliance within 7 days. A re-inspection will follow. Non-compliance will result in mandatory facility closure, product seizure, and imposition of fines of $200,000 per violation per day."
190,B,Intellectual Property Claim,"NOTICE OF PATENT LICENSING OBLIGATION TO: DevStack Innovations FROM: CodePatent Partners DATE: June 10, 2024 CodePatent Partners holds an essential patent portfolio covering standards implemented in DevStack Innovations's product 'AutoScale Engine'. As a participant in the Bluetooth 5.2 standard, CodePatent Partners has committed to licensing these patents on FRAND (Fair, Reasonable, and Non-Discriminatory) terms. DevStack Innovations's commercial deployment of technology implementing this standard without obtaining a license from CodePatent Partners constitutes patent infringement. CodePatent Partners invites DevStack Innovations to enter into good-faith licensing negotiations within 30 days. Failure to respond will be taken as a refusal to negotiate in good faith, and CodePatent Partners will pursue all appropriate legal and regulatory remedies."
191,A,Contract Dispute,"NOTICE OF NON-COMPETE VIOLATION TO: Sunstone Development LLC FROM: Greenfield Realty Partners DATE: February 18, 2025 Pursuant to Section 12.5 of the Employment and Consulting Agreement dated December 15, 2023, this notice serves to advise Sunstone Development LLC of a clear violation of the non-compete and non-solicitation provisions. Sunstone Development LLC has engaged in directly competitive business activities and solicited Greenfield Realty Partners's clients within the restricted period and geography. Greenfield Realty Partners demands immediate cessation of all such activities. Continued violations will result in an application for injunctive relief and a claim for liquidated damages as specified in the agreement, estimated at $50,000."
192,C,Regulatory Compliance,"NOTICE OF REGULATORY VIOLATION TO: Pinnacle Lending Solutions Inc. FROM: Office of Financial Regulation DATE: November 27, 2024 Following an inspection conducted on March 1, 2022, Office of Financial Regulation has determined that Pinnacle Lending Solutions Inc. is in violation of Section 9.3 of the California Consumer Privacy Act (CCPA). Specifically, Pinnacle Lending Solutions Inc. has failed to maintain adequate records of customer transactions as mandated by applicable regulations. You are hereby directed to implement all required remediation measures within 21 calendar days of this notice. Failure to comply will result in the imposition of civil penalties of up to $15,000 per day of continued non-compliance. A written remediation plan must be submitted to this office by within 15 business days."
193,B,Intellectual Property Claim,"NOTICE OF PLAGIARISM AND COPYRIGHT VIOLATION TO: ContentStream Media FROM: Artisan Copyright Trust DATE: May 16, 2025 Artisan Copyright Trust is the author and copyright holder of the work 'Dynamic Load Balancing Algorithm', published in 2018. A detailed comparison confirms that ContentStream Media's publication 'LinkBridge System', released on January 15, 2022, reproduces substantial portions of Artisan Copyright Trust's work verbatim without attribution or license. This constitutes copyright infringement under 17 U.S.C. § 501. Artisan Copyright Trust demands immediate withdrawal of the infringing publication, public attribution, and payment of licensing fees retroactively calculated at $500,000. A written response is required within 21 days or Artisan Copyright Trust will pursue all legal remedies including statutory damages."
194,C,Regulatory Compliance,"CONSUMER PROTECTION COMPLIANCE NOTICE TO: FastBuy E-Commerce Ltd. FROM: Consumer Protection Bureau DATE: December 2, 2024 Following a review of consumer complaints received between Q2 2023, Consumer Protection Bureau has determined that FastBuy E-Commerce Ltd.'s marketing practices constitute violations of the Electronic Communications Code 2017. Specifically, FastBuy E-Commerce Ltd. has engaged in misleading pricing representations and failed to honor statutory refund rights. You are directed to revise all non-compliant advertising materials and implement a compliant refund process within 21 days. Full compliance reports must be submitted to this office. Failure to comply will result in public enforcement action, mandatory consumer redress, and fines of up to $500,000."
195,C,Regulatory Compliance,"ANTI-MONEY LAUNDERING COMPLIANCE DIRECTIVE TO: TechVault Analytics Ltd. FROM: Data Protection Commissioner DATE: May 22, 2024 Pursuant to the Food Safety Modernization Act (FSMA), Data Protection Commissioner has identified significant deficiencies in TechVault Analytics Ltd.'s anti-money laundering (AML) controls. An audit conducted on February 14, 2023 found that TechVault Analytics Ltd. failed to conduct adequate customer due diligence on 1200 high-risk accounts and did not file required Suspicious Activity Reports (SARs). These deficiencies constitute serious regulatory violations. TechVault Analytics Ltd. must implement enhanced AML procedures and submit a remediation plan within 7 days. Failure to remediate will result in regulatory sanctions, including fines of up to $25,000 and potential license revocation."
196,B,Intellectual Property Claim,"NOTICE OF UNAUTHORIZED USE OF BRAND ASSETS TO: ContentStream Media FROM: Artisan Copyright Trust DATE: December 2, 2024 Artisan Copyright Trust has become aware that ContentStream Media is using Artisan Copyright Trust's registered logos, brand imagery, and copyrighted marketing materials without authorization in its advertising campaigns. This unauthorized use falsely implies an endorsement or affiliation between the parties that does not exist. Such conduct constitutes trademark infringement, copyright infringement, and false advertising under applicable federal and state law. Artisan Copyright Trust demands immediate removal of all such materials from ContentStream Media's website, social media, and printed collateral within 10 hours of this notice, and reserves all rights to seek damages and attorney's fees."
197,C,Regulatory Compliance,"WORKPLACE SAFETY ENFORCEMENT NOTICE TO: Premier Food Processing Corp. FROM: Food Safety Regulatory Board DATE: May 22, 2024 An unannounced workplace inspection conducted on August 20, 2023 identified serious violations of the Occupational Safety and Health Act (OSHA) at Premier Food Processing Corp.'s premises. Hazards identified include inadequate machine guarding, absence of required safety signage, and failure to maintain mandatory incident logs. These violations present an imminent risk to worker safety. Premier Food Processing Corp. is directed to cease the affected operations immediately and submit a corrective action plan within 30 days. Penalties of up to $50,000 per violation will apply. A follow-up inspection will be conducted within 45 days to verify compliance."
198,B,Intellectual Property Claim,"TRADEMARK INFRINGEMENT AND PASSING-OFF NOTICE TO: Digital Audio Networks FROM: SoundMark Entertainment DATE: March 25, 2025 SoundMark Entertainment is the registered owner of the trademark 'STREAMLINE' (Registration No. CRG-674), covering goods and services in Class 35. Digital Audio Networks has been using a confusingly similar mark 'VisionAI Toolkit' in commerce, likely to cause consumer confusion and dilute SoundMark Entertainment's brand. This use constitutes trademark infringement under 15 U.S.C. § 1114 and passing-off under common law. SoundMark Entertainment demands immediate discontinuation of all use of the infringing mark, withdrawal of all related marketing materials, and a written response within 21 days. Legal action will follow without further notice if these demands are not met."
199,A,Contract Dispute,"NOTICE OF CONTRACT TERMINATION FOR CAUSE TO: Pinnacle Construction Ltd. FROM: TerraForm Engineering DATE: January 9, 2025 This notice serves to inform Pinnacle Construction Ltd. that TerraForm Engineering is exercising its right to terminate the Distribution Agreement dated May 5, 2023 for cause, pursuant to Section 4.2. The grounds for termination include repeated failure to meet minimum purchase commitments and unauthorized sub-distribution to third parties. TerraForm Engineering demands return of all proprietary materials within 21 days and full accounting of sales records for the period Q3 2023. All outstanding payments of $150,000 remain due and payable immediately."
200,A,Contract Dispute,"DISPUTE NOTICE — EXCLUSIVITY VIOLATION TO: Harmon & Associates Ltd. FROM: SilverBridge Capital LLC DATE: July 8, 2024 This notice is issued to Harmon & Associates Ltd. regarding a breach of the exclusivity provisions in the Licensing Agreement dated May 5, 2023. Section 3.4 of that agreement grants SilverBridge Capital LLC the exclusive right to distribute Harmon & Associates Ltd.'s products within the the United Kingdom region. SilverBridge Capital LLC has evidence that Harmon & Associates Ltd. has directly supplied products to SilverBridge Capital LLC's clients and appointed competing distributors in the exclusive territory. This constitutes a material breach. SilverBridge Capital LLC demands immediate cessation and compensation for lost revenues estimated at $150,000, with a response required within 21 business days."
201,B,Intellectual Property Claim,"NOTICE OF PATENT INFRINGEMENT TO: Pixel Factory Ltd. FROM: DesignEdge Studio DATE: November 27, 2024 DesignEdge Studio is the owner of U.S. Patent No. US 9,863,233, entitled 'Dynamic Load Balancing Algorithm', duly registered and in full force. It has come to DesignEdge Studio's attention that Pixel Factory Ltd.'s product 'AutoScale Engine' directly infringes one or more claims of this patent, specifically Claims 1-5. DesignEdge Studio demands that Pixel Factory Ltd. immediately cease all manufacture, sale, and distribution of the infringing product and provide a written response within 10 days confirming compliance. Failure to do so will result in legal proceedings seeking injunctive relief and damages, including lost profits and reasonable royalties."
202,C,Regulatory Compliance,"NOTICE OF REGULATORY VIOLATION TO: Meridian Manufacturing Co. FROM: Health & Safety Enforcement Agency DATE: December 2, 2024 Following an inspection conducted on May 5, 2023, Health & Safety Enforcement Agency has determined that Meridian Manufacturing Co. is in violation of Section 2.9 of the Sarbanes-Oxley Act (SOX). Specifically, Meridian Manufacturing Co. has failed to maintain adequate records of customer transactions as mandated by applicable regulations. You are hereby directed to implement all required remediation measures within 14 calendar days of this notice. Failure to comply will result in the imposition of civil penalties of up to $75,000 per day of continued non-compliance. A written remediation plan must be submitted to this office by no later than the end of the current quarter."
203,A,Contract Dispute,"NOTICE OF WARRANTY BREACH TO: Horizon Enterprises Group FROM: Cascade Software Inc. DATE: May 22, 2024 Cascade Software Inc. hereby notifies Horizon Enterprises Group of a warranty breach under the Equipment Supply Agreement dated October 1, 2023. The equipment delivered under Purchase Order #94926 has failed to perform to the specifications warranted in Section 9.3, exhibiting critical operational defects. Despite 21 days' notice provided on September 12, 2022, Horizon Enterprises Group has failed to repair or replace the defective units. Cascade Software Inc. now demands full replacement of all defective equipment or a refund of $500,000, and reserves all rights to consequential damages arising from production losses."
204,B,Intellectual Property Claim,"COPYRIGHT INFRINGEMENT NOTICE TO: ContentStream Media FROM: Artisan Copyright Trust DATE: December 2, 2024 This notice is to inform ContentStream Media that certain content published on its platform constitutes infringement of copyrighted works owned by Artisan Copyright Trust, registered under U.S. Copyright Registration No. TXU-1434. The infringing material, identified as 'SecureVault API', reproduces substantial portions of Artisan Copyright Trust's protected work without authorization. Pursuant to 17 U.S.C. § 512, Artisan Copyright Trust demands immediate removal of the infringing content. Artisan Copyright Trust reserves the right to seek statutory damages of up to $500,000 per work infringed, plus attorney's fees, if prompt corrective action is not taken within 7 business days."
205,B,Intellectual Property Claim,"NOTICE OF SOFTWARE LICENSE VIOLATION TO: LifeScience Ventures Corp. FROM: BioMed IP Group DATE: May 22, 2024 BioMed IP Group develops and owns the software 'NeuralEdge SDK', licensed under a commercial End User License Agreement (EULA). An audit has confirmed that LifeScience Ventures Corp. has deployed BioMed IP Group's software on 500 servers without valid licenses, constituting copyright infringement and a material breach of the EULA. Unlicensed use is estimated to have caused BioMed IP Group revenue losses of $25,000. LifeScience Ventures Corp. is directed to immediately cease unlicensed use, purchase all required licenses, and remit retroactive license fees within 14 days. Non-compliance will result in legal proceedings and referral to the Software Alliance for enforcement."
206,C,Regulatory Compliance,"NOTICE OF DATA PROTECTION BREACH TO: Horizon Capital Partners FROM: Securities Enforcement Division DATE: April 7, 2025 Pursuant to the General Data Protection Regulation (GDPR), Securities Enforcement Division hereby notifies Horizon Capital Partners of its failure to report a personal data breach within the mandatory 30-hour notification window. The breach, which occurred on May 5, 2023, affected the personal data of approximately 2500 individuals. Horizon Capital Partners's failure to notify affected individuals and this authority constitutes a serious infringement. Horizon Capital Partners is directed to submit a full incident report, including root cause analysis and remediation steps, within 30 business days. Non-compliance may result in administrative fines of up to $200,000 or 4% of annual global turnover, whichever is greater."
207,C,Regulatory Compliance,"NOTICE OF REGULATORY VIOLATION TO: GreenField Industrial Corp. FROM: Environmental Compliance Authority DATE: November 27, 2024 Following an inspection conducted on August 20, 2023, Environmental Compliance Authority has determined that GreenField Industrial Corp. is in violation of Section 8.6 of the Clean Air Act, 42 U.S.C. § 7401 et seq.. Specifically, GreenField Industrial Corp. has failed to maintain adequate records of customer transactions as mandated by applicable regulations. You are hereby directed to implement all required remediation measures within 7 calendar days of this notice. Failure to comply will result in the imposition of civil penalties of up to $350,000 per day of continued non-compliance. A written remediation plan must be submitted to this office by no later than the end of the current quarter."
208,A,Contract Dispute,"NOTICE OF CONTRACT TERMINATION FOR CAUSE TO: Coastal Logistics Partners FROM: Meridian Freight Services DATE: May 22, 2024 This notice serves to inform Coastal Logistics Partners that Meridian Freight Services is exercising its right to terminate the Distribution Agreement dated February 14, 2023 for cause, pursuant to Section 12.5. The grounds for termination include repeated failure to meet minimum purchase commitments and unauthorized sub-distribution to third parties. Meridian Freight Services demands return of all proprietary materials within 14 days and full accounting of sales records for the period Q1 2023. All outstanding payments of $50,000 remain due and payable immediately."
209,A,Contract Dispute,"NOTICE OF CONTRACT TERMINATION FOR CAUSE TO: NorthStar Technologies Corp. FROM: BluePeak Consulting Group DATE: August 19, 2024 This notice serves to inform NorthStar Technologies Corp. that BluePeak Consulting Group is exercising its right to terminate the Distribution Agreement dated November 1, 2022 for cause, pursuant to Section 9.3. The grounds for termination include repeated failure to meet minimum purchase commitments and unauthorized sub-distribution to third parties. BluePeak Consulting Group demands return of all proprietary materials within 21 days and full accounting of sales records for the period Q4 2023. All outstanding payments of $25,000 remain due and payable immediately."
210,B,Intellectual Property Claim,"DESIGN PATENT INFRINGEMENT NOTICE TO: MediaForge Corp. FROM: Creative Works International DATE: April 7, 2025 This notice is to advise that MediaForge Corp.'s product 'VisionAI Toolkit' infringes Creative Works International's registered design patent No. US 10,770,244, which protects the ornamental design of Creative Works International's Dynamic Load Balancing Algorithm. An ordinary observer comparing both products would find the designs substantially identical. Creative Works International demands that MediaForge Corp. immediately cease manufacturing and selling the infringing product, destroy all existing inventory, and provide sales records for the period Q3 2023 to facilitate calculation of damages. Unless written confirmation of compliance is received within 30 days, Creative Works International will initiate litigation seeking disgorgement of all profits."
211,A,Contract Dispute,"DISPUTE NOTICE — SCOPE OF WORK TO: Sunstone Development LLC FROM: Greenfield Realty Partners DATE: May 16, 2025 Greenfield Realty Partners hereby provides formal notice of a dispute regarding the scope of work under the Professional Services Contract dated August 20, 2023. Specifically, Sunstone Development LLC has unilaterally performed services outside the agreed Statement of Work (Exhibit A), resulting in unauthorized charges of $25,000. Pursuant to Section 4.2 of the agreement, Greenfield Realty Partners disputes these charges and requests a written justification within 14 days. If the parties cannot resolve this dispute amicably, the matter will be referred to mediation as specified in the contract."
212,A,Contract Dispute,"DISPUTE NOTICE — SCOPE OF WORK TO: Delta Supply Chain Corp. FROM: Apex Manufacturing Co. DATE: December 2, 2024 Apex Manufacturing Co. hereby provides formal notice of a dispute regarding the scope of work under the Professional Services Contract dated December 15, 2023. Specifically, Delta Supply Chain Corp. has unilaterally performed services outside the agreed Statement of Work (Exhibit A), resulting in unauthorized charges of $150,000. Pursuant to Section 4.2 of the agreement, Apex Manufacturing Co. disputes these charges and requests a written justification within 21 days. If the parties cannot resolve this dispute amicably, the matter will be referred to mediation as specified in the contract."
213,A,Contract Dispute,"NOTICE OF WARRANTY BREACH TO: NorthStar Technologies Corp. FROM: BluePeak Consulting Group DATE: December 2, 2024 BluePeak Consulting Group hereby notifies NorthStar Technologies Corp. of a warranty breach under the Equipment Supply Agreement dated January 15, 2022. The equipment delivered under Purchase Order #86720 has failed to perform to the specifications warranted in Section 2.9, exhibiting critical operational defects. Despite 7 days' notice provided on November 1, 2022, NorthStar Technologies Corp. has failed to repair or replace the defective units. BluePeak Consulting Group now demands full replacement of all defective equipment or a refund of $50,000, and reserves all rights to consequential damages arising from production losses."
214,C,Regulatory Compliance,"NOTICE OF REGULATORY VIOLATION TO: FastBuy E-Commerce Ltd. FROM: Consumer Protection Bureau DATE: August 19, 2024 Following an inspection conducted on March 1, 2022, Consumer Protection Bureau has determined that FastBuy E-Commerce Ltd. is in violation of Section 7.1 of the Clean Air Act, 42 U.S.C. § 7401 et seq.. Specifically, FastBuy E-Commerce Ltd. has failed to maintain adequate records of customer transactions as mandated by applicable regulations. You are hereby directed to implement all required remediation measures within 30 calendar days of this notice. Failure to comply will result in the imposition of civil penalties of up to $50,000 per day of continued non-compliance. A written remediation plan must be submitted to this office by within 15 business days."
215,C,Regulatory Compliance,"CONSUMER PROTECTION COMPLIANCE NOTICE TO: Meridian Manufacturing Co. FROM: Health & Safety Enforcement Agency DATE: May 16, 2025 Following a review of consumer complaints received between Q2 2024, Health & Safety Enforcement Agency has determined that Meridian Manufacturing Co.'s marketing practices constitute violations of the Sarbanes-Oxley Act (SOX). Specifically, Meridian Manufacturing Co. has engaged in misleading pricing representations and failed to honor statutory refund rights. You are directed to revise all non-compliant advertising materials and implement a compliant refund process within 7 days. Full compliance reports must be submitted to this office. Failure to comply will result in public enforcement action, mandatory consumer redress, and fines of up to $100,000."
216,B,Intellectual Property Claim,"NOTICE OF UNAUTHORIZED USE OF BRAND ASSETS TO: OpenSource Dynamics Ltd. FROM: InnovateTech IP DATE: May 16, 2025 InnovateTech IP has become aware that OpenSource Dynamics Ltd. is using InnovateTech IP's registered logos, brand imagery, and copyrighted marketing materials without authorization in its advertising campaigns. This unauthorized use falsely implies an endorsement or affiliation between the parties that does not exist. Such conduct constitutes trademark infringement, copyright infringement, and false advertising under applicable federal and state law. InnovateTech IP demands immediate removal of all such materials from OpenSource Dynamics Ltd.'s website, social media, and printed collateral within 7 hours of this notice, and reserves all rights to seek damages and attorney's fees."
217,A,Contract Dispute,"NOTICE OF PAYMENT DEFAULT TO: Coastal Logistics Partners FROM: Meridian Freight Services DATE: November 27, 2024 Pursuant to Section 9.3 of the Master Services Agreement executed on December 15, 2023, this letter constitutes formal notice that Coastal Logistics Partners is in default of its payment obligations. Outstanding invoices totaling $15,000 remain unpaid, now 45 days past due. Meridian Freight Services demands immediate remittance of all overdue amounts plus accrued interest at the rate of 2.5% per annum. Unless payment is received within 7 business days, Meridian Freight Services will exercise its right to suspend all services and initiate arbitration proceedings."
218,B,Intellectual Property Claim,"NOTICE OF UNAUTHORIZED USE OF BRAND ASSETS TO: OpenSource Dynamics Ltd. FROM: InnovateTech IP DATE: April 7, 2025 InnovateTech IP has become aware that OpenSource Dynamics Ltd. is using InnovateTech IP's registered logos, brand imagery, and copyrighted marketing materials without authorization in its advertising campaigns. This unauthorized use falsely implies an endorsement or affiliation between the parties that does not exist. Such conduct constitutes trademark infringement, copyright infringement, and false advertising under applicable federal and state law. InnovateTech IP demands immediate removal of all such materials from OpenSource Dynamics Ltd.'s website, social media, and printed collateral within 7 hours of this notice, and reserves all rights to seek damages and attorney's fees."
219,A,Contract Dispute,"NOTICE OF CONTRACT BREACH TO: Radiant Broadcasting Corp. FROM: Luminary Media Group DATE: September 5, 2024 This notice is to formally advise that Radiant Broadcasting Corp. has materially breached the Service Agreement dated March 1, 2022 by failing to deliver the contracted software modules within the agreed timeline. As of this date, 120 days have elapsed beyond the delivery deadline stipulated in Section 7.1. Luminary Media Group hereby demands full performance or written remediation plan within 21 calendar days. Failure to cure this breach will result in termination of the agreement and pursuit of all available legal remedies, including damages of no less than $25,000."
220,A,Contract Dispute,"DISPUTE NOTICE — EXCLUSIVITY VIOLATION TO: Harmon & Associates Ltd. FROM: SilverBridge Capital LLC DATE: April 15, 2024 This notice is issued to Harmon & Associates Ltd. regarding a breach of the exclusivity provisions in the Licensing Agreement dated September 12, 2022. Section 11.2 of that agreement grants SilverBridge Capital LLC the exclusive right to distribute Harmon & Associates Ltd.'s products within the the European Union region. SilverBridge Capital LLC has evidence that Harmon & Associates Ltd. has directly supplied products to SilverBridge Capital LLC's clients and appointed competing distributors in the exclusive territory. This constitutes a material breach. SilverBridge Capital LLC demands immediate cessation and compensation for lost revenues estimated at $500,000, with a response required within 14 business days."
221,A,Contract Dispute,"NOTICE OF CONTRACT BREACH TO: Arbor Investment Holdings FROM: Keystone Financial Services DATE: January 9, 2025 This notice is to formally advise that Arbor Investment Holdings has materially breached the Service Agreement dated August 20, 2023 by failing to deliver the contracted software modules within the agreed timeline. As of this date, 45 days have elapsed beyond the delivery deadline stipulated in Section 4.2. Keystone Financial Services hereby demands full performance or written remediation plan within 10 calendar days. Failure to cure this breach will result in termination of the agreement and pursuit of all available legal remedies, including damages of no less than $500,000."
222,B,Intellectual Property Claim,"DOMAIN NAME DISPUTE NOTICE TO: ContentStream Media FROM: Artisan Copyright Trust DATE: March 25, 2025 Artisan Copyright Trust is the owner of the federally registered trademark 'DATATRUST' and the domain name novex.com. ContentStream Media has registered and is using the domain 'NeuralEdge SDK', which is confusingly similar to Artisan Copyright Trust's trademark and domain. This constitutes cybersquatting under the Anti-Cybersquatting Consumer Protection Act (15 U.S.C. § 1125(d)). Artisan Copyright Trust demands immediate transfer of the disputed domain to Artisan Copyright Trust without compensation. If voluntary transfer is not confirmed within 30 days, Artisan Copyright Trust will initiate proceedings under ICANN's Uniform Domain Name Dispute Resolution Policy (UDRP) and seek all available legal remedies."
223,A,Contract Dispute,"DISPUTE NOTICE — EXCLUSIVITY VIOLATION TO: NorthStar Technologies Corp. FROM: BluePeak Consulting Group DATE: November 27, 2024 This notice is issued to NorthStar Technologies Corp. regarding a breach of the exclusivity provisions in the Licensing Agreement dated May 5, 2023. Section 2.9 of that agreement grants BluePeak Consulting Group the exclusive right to distribute NorthStar Technologies Corp.'s products within the Asia-Pacific region. BluePeak Consulting Group has evidence that NorthStar Technologies Corp. has directly supplied products to BluePeak Consulting Group's clients and appointed competing distributors in the exclusive territory. This constitutes a material breach. BluePeak Consulting Group demands immediate cessation and compensation for lost revenues estimated at $15,000, with a response required within 30 business days."
